frame,time_s,peak_count,peak_x_px,peak_prominence_px,spacing_px_all,spacing_cm_all,spacing_cm_valid,frame_mean_spacing_cm,frame_median_spacing_cm,surface_contrast_mean,valid_spacing_count
0,0.0,0,,,,,,,,22.227252960205078,0
1,0.03333333333333333,0,,,,,,,,22.227252960205078,0
2,0.06666666666666667,0,,,,,,,,20.512014389038086,0
3,0.1,0,,,,,,,,21.924222946166992,0
4,0.13333333333333333,0,,,,,,,,22.25748062133789,0
5,0.16666666666666666,1,175,29.299,,,,,,15.137472152709961,0
6,0.2,0,,,,,,,,22.236051559448242,0
7,0.23333333333333334,0,,,,,,,,18.08814811706543,0
8,0.26666666666666666,0,,,,,,,,24.894947052001953,0
9,0.3,0,,,,,,,,24.91899871826172,0
10,0.3333333333333333,0,,,,,,,,18.51638412475586,0
11,0.36666666666666664,0,,,,,,,,22.267026901245117,0
12,0.4,0,,,,,,,,16.907718658447266,0
13,0.43333333333333335,0,,,,,,,,22.82991600036621,0
14,0.4666666666666667,0,,,,,,,,21.50215721130371,0
15,0.5,0,,,,,,,,22.059595108032227,0
16,0.5333333333333333,0,,,,,,,,24.474376678466797,0
17,0.5666666666666667,1,182,11.642,,,,,,16.704885482788086,0
18,0.6,0,,,,,,,,24.148021697998047,0
19,0.6333333333333333,0,,,,,,,,18.729076385498047,0
20,0.6666666666666666,0,,,,,,,,24.271865844726562,0
21,0.7,0,,,,,,,,24.25284194946289,0
22,0.7333333333333333,0,,,,,,,,18.47001075744629,0
23,0.7666666666666667,0,,,,,,,,22.607439041137695,0
24,0.8,1,182,11.837,,,,,,15.010030746459961,0
25,0.8333333333333334,0,,,,,,,,22.878755569458008,0
26,0.8666666666666667,0,,,,,,,,20.604202270507812,0
27,0.9,0,,,,,,,,20.980749130249023,0
28,0.9333333333333333,0,,,,,,,,23.696125030517578,0
29,0.9666666666666667,0,,,,,,,,15.238090515136719,0
30,1.0,0,,,,,,,,23.57032585144043,0
31,1.0333333333333334,0,,,,,,,,17.719087600708008,0
32,1.0666666666666667,0,,,,,,,,25.445436477661133,0
33,1.1,0,,,,,,,,25.43914222717285,0
34,1.1333333333333333,0,,,,,,,,19.233068466186523,0
35,1.1666666666666667,0,,,,,,,,21.621746063232422,0
36,1.2,0,,,,,,,,16.557268142700195,0
37,1.2333333333333334,0,,,,,,,,22.237703323364258,0
38,1.2666666666666666,0,,,,,,,,21.38719367980957,0
39,1.3,0,,,,,,,,22.092880249023438,0
40,1.3333333333333333,0,,,,,,,,23.831457138061523,0
41,1.3666666666666667,1,182,11.837,,,,,,15.639413833618164,0
42,1.4,0,,,,,,,,23.27658462524414,0
43,1.4333333333333333,0,,,,,,,,18.32192611694336,0
44,1.4666666666666666,0,,,,,,,,23.69337272644043,0
45,1.5,0,,,,,,,,24.039840698242188,0
46,1.5333333333333334,0,,,,,,,,17.43296241760254,0
47,1.5666666666666667,0,,,,,,,,21.429174423217773,0
48,1.6,1,182,11.837,,,,,,14.696000099182129,0
49,1.6333333333333333,0,,,,,,,,22.211185455322266,0
50,1.6666666666666667,0,,,,,,,,20.54689598083496,0
51,1.7,0,,,,,,,,22.13763999938965,0
52,1.7333333333333334,0,,,,,,,,23.291057586669922,0
53,1.7666666666666666,1,184,11.339,,,,,,15.419465065002441,0
54,1.8,0,,,,,,,,23.53965187072754,0
55,1.8333333333333333,0,,,,,,,,17.228185653686523,0
56,1.8666666666666667,0,,,,,,,,24.15418243408203,0
57,1.9,0,,,,,,,,24.407983779907227,0
58,1.9333333333333333,0,,,,,,,,18.72960662841797,0
59,1.9666666666666666,0,,,,,,,,21.7329158782959,0
60,2.0,1,182,11.837,,,,,,16.068225860595703,0
61,2.033333333333333,0,,,,,,,,22.417329788208008,0
62,2.066666666666667,0,,,,,,,,20.594377517700195,0
63,2.1,0,,,,,,,,21.794109344482422,0
64,2.1333333333333333,0,,,,,,,,23.783769607543945,0
65,2.1666666666666665,0,,,,,,,,16.048295974731445,0
66,2.2,0,,,,,,,,23.678218841552734,0
67,2.2333333333333334,0,,,,,,,,17.242095947265625,0
68,2.2666666666666666,0,,,,,,,,23.16471290588379,0
69,2.3,0,,,,,,,,23.287113189697266,0
70,2.3333333333333335,0,,,,,,,,17.661436080932617,0
71,2.3666666666666667,0,,,,,,,,22.334949493408203,0
72,2.4,0,,,,,,,,14.193459510803223,0
73,2.433333333333333,1,741,3.328,,,,,,21.93357276916504,0
74,2.466666666666667,1,785,49.831,,,,,,20.206077575683594,0
75,2.5,1,784,49.144,,,,,,20.9122371673584,0
76,2.533333333333333,0,,,,,,,,23.29283905029297,0
77,2.566666666666667,0,,,,,,,,15.963849067687988,0
78,2.6,0,,,,,,,,23.622465133666992,0
79,2.6333333333333333,0,,,,,,,,17.7169189453125,0
80,2.6666666666666665,0,,,,,,,,24.631975173950195,0
81,2.7,0,,,,,,,,24.587419509887695,0
82,2.7333333333333334,0,,,,,,,,17.650283813476562,0
83,2.7666666666666666,0,,,,,,,,23.672945022583008,0
84,2.8,0,,,,,,,,15.517321586608887,0
85,2.8333333333333335,0,,,,,,,,23.705062866210938,0
86,2.8666666666666667,0,,,,,,,,21.440349578857422,0
87,2.9,0,,,,,,,,21.700607299804688,0
88,2.933333333333333,0,,,,,,,,22.219688415527344,0
89,2.966666666666667,0,,,,,,,,16.037460327148438,0
90,3.0,0,,,,,,,,23.491071701049805,0
91,3.033333333333333,0,,,,,,,,17.486120223999023,0
92,3.066666666666667,0,,,,,,,,23.302324295043945,0
93,3.1,0,,,,,,,,23.433788299560547,0
94,3.1333333333333333,0,,,,,,,,17.006343841552734,0
95,3.1666666666666665,1,699,3.138,,,,,,21.92662239074707,0
96,3.2,1,201,14.516,,,,,,14.151938438415527,0
97,3.2333333333333334,0,,,,,,,,22.546239852905273,0
98,3.2666666666666666,0,,,,,,,,19.562469482421875,0
99,3.3,0,,,,,,,,20.954544067382812,0
100,3.3333333333333335,0,,,,,,,,22.004127502441406,0
101,3.3666666666666667,0,,,,,,,,14.684974670410156,0
102,3.4,0,,,,,,,,22.12631607055664,0
103,3.433333333333333,0,,,,,,,,16.310644149780273,0
104,3.466666666666667,0,,,,,,,,23.166545867919922,0
105,3.5,0,,,,,,,,23.08853530883789,0
106,3.533333333333333,0,,,,,,,,18.096874237060547,0
107,3.566666666666667,0,,,,,,,,22.168397903442383,0
108,3.6,0,,,,,,,,15.258715629577637,0
109,3.6333333333333333,0,,,,,,,,21.610610961914062,0
110,3.6666666666666665,0,,,,,,,,19.403390884399414,0
111,3.7,0,,,,,,,,20.973012924194336,0
112,3.7333333333333334,0,,,,,,,,22.570507049560547,0
113,3.7666666666666666,1,489,10.621,,,,,,15.1865873336792,0
114,3.8,0,,,,,,,,21.780715942382812,0
115,3.8333333333333335,1,203,13.605,,,,,,17.04734230041504,0
116,3.8666666666666667,0,,,,,,,,21.981054306030273,0
117,3.9,0,,,,,,,,22.83725929260254,0
118,3.933333333333333,1,203,13.687,,,,,,17.582433700561523,0
119,3.966666666666667,0,,,,,,,,21.873119354248047,0
120,4.0,2,203;489,14.101;10.521,286.0,15.294,,,,14.3299560546875,0
121,4.033333333333333,0,,,,,,,,21.85221290588379,0
122,4.066666666666666,0,,,,,,,,20.4488582611084,0
123,4.1,0,,,,,,,,22.332536697387695,0
124,4.133333333333334,1,182,5.138,,,,,,22.484952926635742,0
125,4.166666666666667,1,202,14.279,,,,,,15.152494430541992,0
126,4.2,0,,,,,,,,22.081472396850586,0
127,4.233333333333333,0,,,,,,,,15.755322456359863,0
128,4.266666666666667,1,175,20.697,,,,,,22.08592987060547,0
129,4.3,1,176,20.113,,,,,,21.7342586517334,0
130,4.333333333333333,1,191,30.378,,,,,,17.0670166015625,0
131,4.366666666666666,0,,,,,,,,21.369077682495117,0
132,4.4,1,193,20.807,,,,,,13.943726539611816,0
133,4.433333333333334,0,,,,,,,,21.376291275024414,0
134,4.466666666666667,1,191,24.587,,,,,,17.580429077148438,0
135,4.5,1,203,14.056,,,,,,19.35199546813965,0
136,4.533333333333333,0,,,,,,,,21.866256713867188,0
137,4.566666666666666,1,190,20.716,,,,,,13.831274032592773,0
138,4.6,1,175,7.118,,,,,,22.2568359375,0
139,4.633333333333334,1,190,19.924,,,,,,15.275174140930176,0
140,4.666666666666667,1,594,3.317,,,,,,21.463024139404297,0
141,4.7,1,199,14.131,,,,,,20.858932495117188,0
142,4.733333333333333,1,199,14.180,,,,,,15.871879577636719,0
143,4.766666666666667,1,330,3.089,,,,,,21.262866973876953,0
