file,bytes,exists
analyze_standing_wave_10_0.py,36658,True
standing_wave_cn_report.md,2182,True
standing_wave_summary_cn.csv,1360,True
standing_wave_judgement_cn.png,108205,True
wave_peak_measurement.png,181089,True
xt_raw_incident_reflected_panels.png,719882,True
reflection_strength.png,110385,True
ruler_calibration_diagnostic.png,218880,True
surface_waterline_check.png,834804,True
eta_xt_core_data.npz,2161883,True
eta_xt_matrix_sampled.csv,826627,True
eta_time_series_stats.csv,16034,True
calibration_samples.csv,773,True
wave_peak_distances.csv,3934,True
wave_peak_distance_summary.csv,449,True
reflection_windows.csv,2701,True
analysis_metadata.json,2160,True
